cif_file,num_disordered_sites,denominators_gcd,valid_supercell_count,num_candidates_after_filter,per_site_denominators_str,total_site_entropy
100193.cif,14,2,21,21,100|100|2|2|2|2|2|2|2|2|2|2|2|2,8.587250503078877
102028.cif,2,85,32,32,"85,85|85,85",0.6233919163476347
102207.cif,8,2,70,70,"2,2|2,2|2,2|2,2|2,2|2,2|2,2|2,2",5.545177444479562
102839.cif,30,5,16,16,"5,5|5,5|20,20|20,20|5,5|40,40|40,40|20,20|20,20|40,40|40,40|5,5|20,20|20,20|5,5|5,5|5,5|20,20|20,20|5,5|40,40|40,40|20,20|20,20|40,40|40,40|5,5|20,20|20,20|5,5",18.18960676755295
102958.cif,2,50,30,30,"50,50|50,50",0.9427869736201884
103963.cif,2,5,51,51,"5,5|5,5",1.0008048470763757
104022.cif,2,4,56,56,"4,4|4,4",1.1246702892376166
104166.cif,2,20,35,35,"20,20|20,20",1.294893278069265
104219.cif,2,100,26,26,"100,100|100,100",0.5072778938433827
104229.cif,8,25,40,40,"25,25|25,25|25,25|25,25|25,25|25,25|25,25|25,25",3.517359035210744
104276.cif,8,100,31,31,"100,100|100,100|100,100|100,100|100,100|100,100|100,100|100,100",3.0910936503088298
104280.cif,8,5,51,51,"5,5|5,5|5,5|5,5|5,5|5,5|5,5|5,5",4.003219388305503
104438.cif,4,10,42,42,"10,10|10,10|10,10|10,10",1.3003318935657928
104509.cif,1,20,31,31,"20,20",0.1985152433458726
104514.cif,16,8,23,23,"8,40|8,40|8,8|8,8|8,8|8,8|8,40|8,40|8,40|8,40|8,8|8,8|8,8|8,8|8,40|8,40",7.5615502326261375
104536.cif,16,10,43,43,"10,10|10,10|10,10|10,10|10,10|10,10|10,10|10,10|10,10|10,10|10,10|10,10|10,10|10,10|10,10|10,10",9.773828832878296
104556.cif,16,5,51,51,"5,5|5,5|5,5|5,5|5,5|5,5|5,5|5,5|5,5|5,5|5,5|5,5|5,5|5,5|5,5|5,5",10.768186672148104
104567.cif,4,10,42,42,"10,10|10,10|10,10|10,10",1.3003318935657928
104693.cif,3,2,70,70,"2,2|2,2|2,2",2.0794415416798357
104695.cif,3,2,70,70,"2,2|2,2|2,2",2.0794415416798357
104724.cif,1,2,70,70,"2,2",0.6931471805599453
104725.cif,3,2,70,70,"2,2|2,2|2,2",2.0794415416798357
104729.cif,6,5,51,51,"5,5|5,5|5,5|5,5|5,5|5,5",3.002414541229127
104744.cif,2,10,42,42,"10,10|10,10",0.6501659467828964
