cif_file,size,l,w,h,success,objective,time_s,message
100193.cif,100,5,5,4,True,7.286975945017188,0.984,
100193.cif,200,8,5,5,True,21.751943871706775,3.857,
100193.cif,300,10,6,5,True,34.76211454753724,8.9575,
100193.cif,400,10,8,5,True,35.87498167239406,17.928,
100193.cif,500,10,10,5,True,7.492414662084762,29.099,
100193.cif,600,10,10,6,True,10.409480717831233,43.343,
100193.cif,700,10,10,7,True,8.691784214258439,69.644,
100193.cif,800,10,10,8,True,11.191188907980154,73.526,
100193.cif,900,10,10,9,True,9.733199694539904,103.692,
100193.cif,1000,10,10,10,True,11.694509736540658,109.1,
102028.cif,500,10,10,5,True,0.9116267176010726,2.711,
102028.cif,1000,10,10,10,True,1.2647170905589924,11.122,
102207.cif,36,4,3,3,True,2.9537037037037033,0.091,
102207.cif,48,4,4,3,True,3.0972222222222205,0.125,
102207.cif,54,6,3,3,True,3.5555555555555562,0.15,
102207.cif,60,5,4,3,True,2.433333333333333,0.175,
102207.cif,64,4,4,4,True,2.7343749999999987,0.203,
102207.cif,72,6,4,3,True,4.209259259259259,0.29,
102207.cif,80,5,4,4,True,2.370833333333334,0.3,
102207.cif,84,7,4,3,True,3.563492063492061,0.327,
102207.cif,90,6,5,3,True,3.364814814814815,0.412,
102207.cif,96,6,4,4,True,4.251515151515148,0.411,
102207.cif,100,5,5,4,True,1.8540000000000019,0.443,
102207.cif,108,6,6,3,True,3.7780864197530852,0.562,
102207.cif,112,7,4,4,True,3.46845238095238,0.559,
102207.cif,120,6,5,4,True,3.3108496732026147,0.662,
102207.cif,126,7,6,3,True,3.0055315055315033,0.726,
102207.cif,128,8,4,4,True,5.246874999999999,0.905,
102207.cif,140,7,5,4,True,2.6895238095238114,1.136,
102207.cif,144,6,6,4,True,4.072376543209876,0.966,
102207.cif,150,6,5,5,True,2.712177777777779,1.018,
102207.cif,160,8,5,4,True,4.206666666666668,1.128,
102207.cif,162,9,6,3,True,4.187953610175835,1.207,
102207.cif,168,7,6,4,True,3.3020467836257312,1.222,
102207.cif,180,6,6,5,True,3.3473646723646744,1.634,
102207.cif,192,8,6,4,True,5.623848684210526,1.605,
102207.cif,196,7,7,4,True,2.753401360544218,1.886,
102207.cif,200,8,5,5,True,3.243205128205131,1.723,
102207.cif,210,7,6,5,True,2.6296296296296298,2.057,
102207.cif,216,6,6,6,True,2.8079561042524,2.113,
102207.cif,224,8,7,4,True,4.50550595238095,2.643,
102207.cif,240,8,6,5,True,4.412577160493825,2.752,
102207.cif,250,10,5,5,True,4.273641025641027,2.823,
102207.cif,252,7,6,6,True,2.3910903250188955,3.393,
102207.cif,256,8,8,4,True,4.988541666666664,3.008,
102207.cif,270,9,6,5,True,3.6022496570644726,3.2,
102207.cif,280,8,7,5,True,3.766020408163267,3.301,
102207.cif,288,8,6,6,True,4.10735504850088,3.609,
102207.cif,294,7,7,6,True,2.0657557275783875,3.778,
102207.cif,300,10,6,5,True,4.926234567901236,4.038,
102207.cif,320,8,8,5,True,3.9589285714285714,5.157,
102207.cif,324,9,6,6,True,3.5629188712522044,4.609,
102207.cif,336,8,7,6,True,3.615004105090314,4.823,
102207.cif,350,10,7,5,True,4.10325850340136,6.059,
102207.cif,360,9,8,5,True,3.3625661375661364,5.702,
102207.cif,378,9,7,6,True,2.694228981503201,6.072,
102207.cif,384,8,8,6,True,3.9516942049808397,6.323,
102207.cif,392,8,7,7,True,3.06230563654033,6.624,
102207.cif,400,10,8,5,True,4.6784523809523835,8.381,
102207.cif,420,10,7,6,True,3.5360469935100474,7.497,
102207.cif,432,9,8,6,True,3.4207317830282395,7.994,
102207.cif,448,8,8,7,True,3.5521577380952385,9.105,
102207.cif,450,10,9,5,True,4.248095238095237,9.402,
102207.cif,480,10,8,6,True,4.546849928886567,10.363,
102207.cif,486,9,9,6,True,2.8936068145625384,10.466,
102207.cif,490,10,7,7,True,2.972539682539682,11.068,
102207.cif,500,10,10,5,True,4.16934285714286,10.931,
102207.cif,504,9,8,7,True,2.986243386243383,11.133,
102207.cif,512,8,8,8,True,3.0623914930555505,14.93,
102207.cif,540,10,9,6,True,3.8356577596520136,12.672,
